Site_Name,Domain,Category,Sub_Category,Batch_Source  
Home Tester Club,hometesterclub.com,Retail,Product Testing,New_Batch_5PDFs  
Upwork,upwork.com,Employment,Freelance Network,New_Batch_5PDFs  
Fiverr,fiverr.com,Employment,Freelance Network,New_Batch_5PDFs  
Toptal,toptal.com,Employment,Freelance Network,New_Batch_5PDFs  
Freelancer,freelancer.com,Employment,Freelance Network,New_Batch_5PDFs  
Guru,guru.com,Employment,Freelance Network,New_Batch_5PDFs  
PeoplePerHour,peopleperhour.com,Employment,Freelance Network,New_Batch_5PDFs  
FlexJobs,flexjobs.com,Employment,Job Board,New_Batch_5PDFs  
Remote.co,remote.co,Employment,Job Board,New_Batch_5PDFs  
Wellfound,wellfound.com,Employment,Job Board,New_Batch_5PDFs  
Dribbble,dribbble.com,Employment,Creative Network,New_Batch_5PDFs  
Snagajob,snagajob.com,Employment,Job Board,New_Batch_5PDFs  
Resume-Library,resume-library.com,Employment,Job Board,New_Batch_5PDFs  
Jobillico,jobillico.com,Employment,Job Board,New_Batch_5PDFs  
Jooble,jooble.org,Employment,Job Board,New_Batch_5PDFs  
Adzuna,adzuna.com,Employment,Job Board,New_Batch_5PDFs  
JobRapido,us.jobrapido.com,Employment,Job Board,New_Batch_5PDFs  
CV-Library,cv-library.co.uk,Employment,Job Board,New_Batch_5PDFs  
Totaljobs,totaljobs.com,Employment,Job Board,New_Batch_5PDFs  
Reed,reed.co.uk,Employment,Job Board,New_Batch_5PDFs  
Cineplex,cineplex.com,Entertainment,Movie Theater,New_Batch_5PDFs  
Vue,myvue.com,Entertainment,Movie Theater,New_Batch_5PDFs  
Odeon,odeon.co.uk,Entertainment,Movie Theater,New_Batch_5PDFs  
Cineworld,cineworld.co.uk,Entertainment,Movie Theater,New_Batch_5PDFs  
Hoyts,hoyts.com.au,Entertainment,Movie Theater,New_Batch_5PDFs  
Event Cinemas,eventcinemas.com.au,Entertainment,Movie Theater,New_Batch_5PDFs  
Village Cinemas,villagecinemas.com.au,Entertainment,Movie Theater,New_Batch_5PDFs  
PVR Cinemas,pvrcinemas.com,Entertainment,Movie Theater,New_Batch_5PDFs  
INOX,inoxmovies.com,Entertainment,Movie Theater,New_Batch_5PDFs  
Cinepolis,cinepolis.com,Entertainment,Movie Theater,New_Batch_5PDFs  
Cinemex,cinemex.com,Entertainment,Movie Theater,New_Batch_5PDFs  
Pathe,pathe.fr,Entertainment,Movie Theater,New_Batch_5PDFs  
UGC,ugc.fr,Entertainment,Movie Theater,New_Batch_5PDFs  
Kinepolis,kinepolis.com,Entertainment,Movie Theater,New_Batch_5PDFs  
Ster-Kinekor,sterkinekor.com,Entertainment,Movie Theater,New_Batch_5PDFs  
Stena Line,stenaline.com,Travel,Ferry,New_Batch_5PDFs  
P\&O Ferries,poferries.com,Travel,Ferry,New_Batch_5PDFs  
DFDS Seaways,dfds.com,Travel,Ferry,New_Batch_5PDFs  
Brittany Ferries,brittany-ferries.co.uk,Travel,Ferry,New_Batch_5PDFs  
Irish Ferries,irishferries.com,Travel,Ferry,New_Batch_5PDFs  
Color Line,colorline.com,Travel,Ferry,New_Batch_5PDFs  
Tallink Silja,tallinksilja.com,Travel,Ferry,New_Batch_5PDFs  
Viking Line,vikingline.com,Travel,Ferry,New_Batch_5PDFs  
Corsica Ferries,corsica-ferries.co.uk,Travel,Ferry,New_Batch_5PDFs  
Fred. Olsen Cruise Lines,fredolsencruises.com,Travel,Cruise,New_Batch_5PDFs  
Saga Cruises,travel.saga.co.uk,Travel,Cruise,New_Batch_5PDFs  
P\&O Cruises,pocruises.com,Travel,Cruise,New_Batch_5PDFs  
Marella Cruises,tui.co.uk/cruise,Travel,Cruise,New_Batch_5PDFs  
AIDA Cruises,aida.de,Travel,Cruise,New_Batch_5PDFs  
TUI Cruises,meinschiff.com,Travel,Cruise,New_Batch_5PDFs  
SJ Sweden,sj.se,Travel,Rail,New_Batch_5PDFs  
Vy Norway,vy.no,Travel,Rail,New_Batch_5PDFs  
VR Finland,vr.fi,Travel,Rail,New_Batch_5PDFs  
DSB Denmark,dsb.dk,Travel,Rail,New_Batch_5PDFs  
PKP Intercity Poland,intercity.pl,Travel,Rail,New_Batch_5PDFs  
CD Czech Railways,cd.cz,Travel,Rail,New_Batch_5PDFs  
MAV Hungary,mavcsoport.hu,Travel,Rail,New_Batch_5PDFs  
CFR Calatori Romania,cfrcalatori.ro,Travel,Rail,New_Batch_5PDFs  
CP Portugal,cp.pt,Travel,Rail,New_Batch_5PDFs  
Iarnrod Eireann Ireland,irishrail.ie,Travel,Rail,New_Batch_5PDFs  
Translink Northern Ireland,translink.co.uk,Travel,Transit,New_Batch_5PDFs  
Transport for London TfL,tfl.gov.uk,Travel,Transit,New_Batch_5PDFs  
PTV Melbourne,ptv.vic.gov.au,Travel,Transit,New_Batch_5PDFs  
Transport for NSW,transportnsw.info,Travel,Transit,New_Batch_5PDFs  
TransLink Vancouver,translink.ca,Travel,Transit,New_Batch_5PDFs  
Uniqlo,uniqlo.com,Retail,Apparel,New_Batch_5PDFs  
Muji,muji.com,Retail,Apparel,New_Batch_5PDFs  
Cotton On,cottonon.com,Retail,Apparel,New_Batch_5PDFs  
Superdry,superdry.com,Retail,Apparel,New_Batch_5PDFs  
Primark,primark.com,Retail,Apparel,New_Batch_5PDFs  
Mango,shop.mango.com,Retail,Apparel,New_Batch_5PDFs  
Massimo Dutti,massimodutti.com,Retail,Apparel,New_Batch_5PDFs  
Pull\&Bear,pullandbear.com,Retail,Apparel,New_Batch_5PDFs  
Bershka,bershka.com,Retail,Apparel,New_Batch_5PDFs  
Oysho,oysho.com,Retail,Apparel,New_Batch_5PDFs  
COS,cos.com,Retail,Apparel,New_Batch_5PDFs  
& Other Stories,stories.com,Retail,Apparel,New_Batch_5PDFs  
Arket,arket.com,Retail,Apparel,New_Batch_5PDFs  
Monki,monki.com,Retail,Apparel,New_Batch_5PDFs  
Weekday,weekday.com,Retail,Apparel,New_Batch_5PDFs  
River Island,riverisland.com,Retail,Apparel,New_Batch_5PDFs  
ASOS,asos.com,Retail,Apparel,New_Batch_5PDFs  
Boohoo,boohoo.com,Retail,Apparel,New_Batch_5PDFs  
Missguided,missguided.co.uk,Retail,Apparel,New_Batch_5PDFs  
PrettyLittleThing,prettylittlething.com,Retail,Apparel,New_Batch_5PDFs  
Nasty Gal,nastygal.com,Retail,Apparel,New_Batch_5PDFs  
Fashion Nova,fashionnova.com,Retail,Apparel,New_Batch_5PDFs  
Romwe,romwe.com,Retail,Apparel,New_Batch_5PDFs  
YesStyle,yesstyle.com,Retail,Apparel,New_Batch_5PDFs  
RSPCA Australia,rspca.org.au,Nonprofit,Animal Welfare,New_Batch_5PDFs  
SPCA New Zealand,spca.nz,Nonprofit,Animal Welfare,New_Batch_5PDFs  
BC SPCA Canada,spca.bc.ca,Nonprofit,Animal Welfare,New_Batch_5PDFs  
Toronto Humane Society,torontohumanesociety.com,Nonprofit,Animal Welfare,New_Batch_5PDFs  
Calgary Humane Society,calgaryhumane.ca,Nonprofit,Animal Welfare,New_Batch_5PDFs  
Lort Smith Australia,lortsmith.com,Nonprofit,Animal Welfare,New_Batch_5PDFs  
Dogs Trust Ireland,dogstrust.ie,Nonprofit,Animal Welfare,New_Batch_5PDFs  
ISPCA Ireland,ispca.ie,Nonprofit,Animal Welfare,New_Batch_5PDFs  
Scottish SPCA,scottishspca.org,Nonprofit,Animal Welfare,New_Batch_5PDFs  
USPCA Northern Ireland,uspca.co.uk,Nonprofit,Animal Welfare,New_Batch_5PDFs  
DSPCA Ireland,dspca.ie,Nonprofit,Animal Welfare,New_Batch_5PDFs  
Woodgreen Pets Charity UK,woodgreen.org.uk,Nonprofit,Animal Welfare,New_Batch_5PDFs  
PDSA UK,pdsa.org.uk,Nonprofit,Animal Welfare,New_Batch_5PDFs  
Mayhew UK,themayhew.org,Nonprofit,Animal Welfare,New_Batch_5PDFs  
Celia Hammond Animal Trust,celiahammond.org,Nonprofit,Animal Welfare,New_Batch_5PDFs  
Feline Rescue US,felinerescue.org,Nonprofit,Animal Welfare,New_Batch_5PDFs  
Alley Cat Allies,alleycat.org,Nonprofit,Animal Welfare,New_Batch_5PDFs  
Blind Cat Rescue,blindcatrescue.com,Nonprofit,Animal Welfare,New_Batch_5PDFs  
Muttville Senior Dog Rescue,muttville.org,Nonprofit,Animal Welfare,New_Batch_5PDFs  
Sweetgreen,sweetgreen.com,Restaurant,Fast Casual,New_Batch_5PDFs  
Cava,cava.com,Restaurant,Fast Casual,New_Batch_5PDFs  
Mendocino Farms,mendocinofarms.com,Restaurant,Fast Casual,New_Batch_5PDFs  
Tender Greens,tendergreens.com,Restaurant,Fast Casual,New_Batch_5PDFs  
Lemonade,lemonadela.com,Restaurant,Fast Casual,New_Batch_5PDFs  
Veggie Grill,veggiegrill.com,Restaurant,Fast Casual,New_Batch_5PDFs  
Chopt,choptsalad.com,Restaurant,Fast Casual,New_Batch_5PDFs  
Just Salad,justsalad.com,Restaurant,Fast Casual,New_Batch_5PDFs  
Dig Inn,diginn.com,Restaurant,Fast Casual,New_Batch_5PDFs  
Roti,roti.com,Restaurant,Fast Casual,New_Batch_5PDFs  
Naf Naf Grill,nafnafgrill.com,Restaurant,Fast Casual,New_Batch_5PDFs  
Garbanzo Mediterranean Fresh,eatgarbanzo.com,Restaurant,Fast Casual,New_Batch_5PDFs  
Pita Pit,pitapitusa.com,Restaurant,Fast Casual,New_Batch_5PDFs  
Qdoba,qdoba.com,Restaurant,Fast Casual,New_Batch_5PDFs  
Moe's Southwest Grill,moes.com,Restaurant,Fast Casual,New_Batch_5PDFs  
Baja Fresh,bajafresh.com,Restaurant,Fast Casual,New_Batch_5PDFs  
Rubio's,rubios.com,Restaurant,Fast Casual,New_Batch_5PDFs  
El Pollo Loco,elpolloloco.com,Restaurant,Fast Casual,New_Batch_5PDFs  
Del Taco,deltaco.com,Restaurant,Fast Casual,New_Batch_5PDFs  
Taco John's,tacojohns.com,Restaurant,Fast Casual,New_Batch_5PDFs  
Torchy's Tacos,torchystacos.com,Restaurant,Fast Casual,New_Batch_5PDFs  
Fuzzy's Taco Shop,fuzzystacoshop.com,Restaurant,Fast Casual,New_Batch_5PDFs  
Velvet Taco,velvettaco.com,Restaurant,Fast Casual,New_Batch_5PDFs  
Condado Tacos,condadotacos.com,Restaurant,Fast Casual,New_Batch_5PDFs  
Chronic Tacos,chronictacos.com,Restaurant,Fast Casual,New_Batch_5PDFs  
H Mart,hmart.com,Grocery,Niche Grocer,New_Batch_5PDFs  
99 Ranch Market,99ranch.com,Grocery,Niche Grocer,New_Batch_5PDFs  
Super King Markets,superkingmarkets.com,Grocery,Niche Grocer,New_Batch_5PDFs  
El Super,elsupermarkets.com,Grocery,Niche Grocer,New_Batch_5PDFs  
Fiesta Mart,fiestamart.com,Grocery,Niche Grocer,New_Batch_5PDFs  
Cardenas Markets,cardenasmarkets.com,Grocery,Niche Grocer,New_Batch_5PDFs  
Tony's Fresh Market,tonysfreshmarket.com,Grocery,Niche Grocer,New_Batch_5PDFs  
Pete's Fresh Market,petesfresh.com,Grocery,Niche Grocer,New_Batch_5PDFs  
Wegmans,wegmans.com,Grocery,Regional Grocer,New_Batch_5PDFs  
Harris Teeter,harristeeter.com,Grocery,Regional Grocer,New_Batch_5PDFs  
Food Lion,foodlion.com,Grocery,Regional Grocer,New_Batch_5PDFs  
Hannaford,hannaford.com,Grocery,Regional Grocer,New_Batch_5PDFs  
Giant Food,giantfood.com,Grocery,Regional Grocer,New_Batch_5PDFs  
Stop & Shop,stopandshop.com,Grocery,Regional Grocer,New_Batch_5PDFs  
Shaw's,shaws.com,Grocery,Regional Grocer,New_Batch_5PDFs  
Star Market,starmarket.com,Grocery,Regional Grocer,New_Batch_5PDFs  
Acme Markets,acmemarkets.com,Grocery,Regional Grocer,New_Batch_5PDFs  
Vons,vons.com,Grocery,Regional Grocer,New_Batch_5PDFs  
Pavilions,pavilions.com,Grocery,Regional Grocer,New_Batch_5PDFs  
Bristol Farms,bristolfarms.com,Grocery,Niche Grocer,New_Batch_5PDFs  
Gelson's,gelsons.com,Grocery,Niche Grocer,New_Batch_5PDFs  
Erewhon,erewhonmarket.com,Grocery,Niche Grocer,New_Batch_5PDFs  
Sprouts Farmers Market,sprouts.com,Grocery,Natural Grocer,New_Batch_5PDFs  
Bumble,bumble.com,Social,Dating,New_Batch_5PDFs  
Hinge,hinge.co,Social,Dating,New_Batch_5PDFs  
OkCupid,okcupid.com,Social,Dating,New_Batch_5PDFs  
Match,match.com,Social,Dating,New_Batch_5PDFs  
eHarmony,eharmony.com,Social,Dating,New_Batch_5PDFs  
Plenty of Fish,pof.com,Social,Dating,New_Batch_5PDFs  
Badoo,badoo.com,Social,Dating,New_Batch_5PDFs  
Tinder,tinder.com,Social,Dating,New_Batch_5PDFs  
Grindr,grindr.com,Social,Dating,New_Batch_5PDFs  
HER,weareher.com,Social,Dating,New_Batch_5PDFs  
Coffee Meets Bagel,coffeemeetsbagel.com,Social,Dating,New_Batch_5PDFs  
Raya,rayatheapp.com,Social,Dating,New_Batch_5PDFs  
Christian Mingle,christianmingle.com,Social,Dating,New_Batch_5PDFs  
JSwipe,jswipeapp.com,Social,Dating,New_Batch_5PDFs  
Muzz,muzz.com,Social,Dating,New_Batch_5PDFs  
Salams,salams.app,Social,Dating,New_Batch_5PDFs  
Feeld,feeld.co,Social,Dating,New_Batch_5PDFs  
Lex,thisislex.app,Social,Dating,New_Batch_5PDFs  
Meetup,meetup.com,Social,Community,New_Batch_5PDFs  
Advance Auto Parts,advanceautoparts.com,Automotive,Auto Parts,New_Batch_5PDFs  
O'Reilly Auto Parts,oreillyauto.com,Automotive,Auto Parts,New_Batch_5PDFs  
NAPA Auto Parts,napaonline.com,Automotive,Auto Parts,New_Batch_5PDFs  
Pep Boys,pepboys.com,Automotive,Auto Parts,New_Batch_5PDFs  
Midas,midas.com,Automotive,Auto Service,New_Batch_5PDFs  
Jiffy Lube,jiffylube.com,Automotive,Auto Service,New_Batch_5PDFs  
Valvoline,vioc.com,Automotive,Auto Service,New_Batch_5PDFs  
Firestone Complete Auto Care,firestonecompleteautocare.com,Automotive,Auto Service,New_Batch_5PDFs  
Discount Tire,discounttire.com,Automotive,Tire,New_Batch_5PDFs  
Les Schwab,lesschwab.com,Automotive,Tire,New_Batch_5PDFs  
Ace Hardware,acehardware.com,Retail,Hardware,New_Batch_5PDFs  
True Value,truevalue.com,Retail,Hardware,New_Batch_5PDFs  
Do it Best,doitbest.com,Retail,Hardware,New_Batch_5PDFs  
Tractor Supply Co.,tractorsupply.com,Retail,Farm & Ranch,New_Batch_5PDFs  
Rural King,ruralking.com,Retail,Farm & Ranch,New_Batch_5PDFs  
Harbor Freight Tools,harborfreight.com,Retail,Tools,New_Batch_5PDFs  
Northern Tool,northerntool.com,Retail,Tools,New_Batch_5PDFs  
Menards,menards.com,Retail,Home Improvement,New_Batch_5PDFs  
Fleet Farm,fleetfarm.com,Retail,Farm & Ranch,New_Batch_5PDFs  
Blain's Farm & Fleet,farmandfleet.com,Retail,Farm & Ranch,New_Batch_5PDFs  
Michaels,michaels.com,Retail,Craft,New_Batch_5PDFs  
Joann,joann.com,Retail,Craft,New_Batch_5PDFs  
Hobby Lobby,hobbylobby.com,Retail,Craft,New_Batch_5PDFs  
Blick Art Materials,dickblick.com,Retail,Art Supply,New_Batch_5PDFs  
Jerry's Artarama,jerrysartarama.com,Retail,Art Supply,New_Batch_5PDFs  
Guitar Center,guitarcenter.com,Retail,Music,New_Batch_5PDFs  
Sweetwater,sweetwater.com,Retail,Music,New_Batch_5PDFs  
Sam Ash,samash.com,Retail,Music,New_Batch_5PDFs  
B\&H Photo Video,bhphotovideo.com,Retail,Electronics,New_Batch_5PDFs  
Adorama,adorama.com,Retail,Electronics,New_Batch_5PDFs  
Boots UK,boots.com,Health,Pharmacy,New_Batch_5PDFs  
Superdrug UK,superdrug.com,Health,Pharmacy,New_Batch_5PDFs  
Shoppers Drug Mart,shoppersdrugmart.ca,Health,Pharmacy,New_Batch_5PDFs  
Rexall Canada,rexall.ca,Health,Pharmacy,New_Batch_5PDFs  
Chemist Warehouse,chemistwarehouse.com.au,Health,Pharmacy,New_Batch_5PDFs  
Priceline Pharmacy,priceline.com.au,Health,Pharmacy,New_Batch_5PDFs  
Watsons,watsons.com,Health,Pharmacy,New_Batch_5PDFs  
Guardian Singapore,guardian.com.sg,Health,Pharmacy,New_Batch_5PDFs  
TerryWhite Chemmart,terrywhitechemmart.com.au,Health,Pharmacy,New_Batch_5PDFs  
Pharmasave,pharmasave.com,Health,Pharmacy,New_Batch_5PDFs  
Jean Coutu,jeancoutu.com,Health,Pharmacy,New_Batch_5PDFs  
London Drugs,londondrugs.com,Health,Pharmacy,New_Batch_5PDFs  
Brunet,brunet.ca,Health,Pharmacy,New_Batch_5PDFs  
Kinney Drugs,kinneydrugs.com,Health,Pharmacy,New_Batch_5PDFs  
Walt Disney World,disneyworld.disney.go.com,Entertainment,Mega Theme Park,New_Batch_5PDFs  
Disneyland Resort,disneyland.disney.go.com,Entertainment,Mega Theme Park,New_Batch_5PDFs  
Universal Orlando Resort,universalorlando.com,Entertainment,Mega Theme Park,New_Batch_5PDFs  
Universal Studios Hollywood,universalstudioshollywood.com,Entertainment,Mega Theme Park,New_Batch_5PDFs  
SeaWorld Orlando,seaworld.com/orlando,Entertainment,Mega Theme Park,New_Batch_5PDFs  
SeaWorld San Diego,seaworld.com/san-diego,Entertainment,Mega Theme Park,New_Batch_5PDFs  
SeaWorld San Antonio,seaworld.com/san-antonio,Entertainment,Mega Theme Park,New_Batch_5PDFs  
Discovery Cove,discoverycove.com,Entertainment,Mega Theme Park,New_Batch_5PDFs  
Sesame Place Philadelphia,sesameplace.com/philadelphia,Entertainment,Theme Park,New_Batch_5PDFs  
Sesame Place San Diego,sesameplace.com/san-diego,Entertainment,Theme Park,New_Batch_5PDFs  
Legoland Florida,legoland.com/florida,Entertainment,Theme Park,New_Batch_5PDFs  
Legoland California,legoland.com/california,Entertainment,Theme Park,New_Batch_5PDFs  
Legoland New York,legoland.com/new-york,Entertainment,Theme Park,New_Batch_5PDFs  
Peppa Pig Theme Park Florida,peppapigthemepark.com/florida,Entertainment,Theme Park,New_Batch_5PDFs  
Nickelodeon Universe Mall of America,nickelodeonuniverse.com,Entertainment,Indoor Theme Park,New_Batch_5PDFs  
Nickelodeon Universe American Dream,americandream.com/venue/nickelodeon-universe,Entertainment,Indoor Theme Park,New_Batch_5PDFs  
Warner Bros. Studio Tour Hollywood,wbstudiotour.com,Entertainment,Studio Tour,New_Batch_5PDFs  
WonderWorks,wonderworksonline.com,Entertainment,Indoor Theme Park,New_Batch_5PDFs  
Ripley's Believe It or Not,ripleys.com,Entertainment,Attraction,New_Batch_5PDFs  
Madame Tussauds,madametussauds.com,Entertainment,Attraction,New_Batch_5PDFs  
Crayola Experience,crayolaexperience.com,Entertainment,Indoor Theme Park,New_Batch_5PDFs  
LEGOLAND Discovery Centers,legolanddiscoverycenter.com,Entertainment,Indoor Theme Park,New_Batch_5PDFs  
